class,file,bytes,status,H,W,dtype,z_min_nm,z_max_nm,z_mean_nm,z_std_nm,pixel_to_nm,scan_um,channel
SklerozaMultiplex,1-SM-PM-18.003,8429568,ok,1024,1024,float64,-409.930,61.317,-302.604,50.300,19.531,20.00,Height
SklerozaMultiplex,20_LM_SM-SS.005,8429568,ok,1024,1024,float64,471.865,1318.484,817.720,126.976,48.828,50.00,Height
SklerozaMultiplex,50_5_SM-LV-18.004,8429568,ok,1024,1024,float64,-555.417,870.630,94.072,270.560,90.348,92.52,Height
SklerozaMultiplex,50_5_SM-LV-18.003,8429568,ok,1024,1024,float64,114.416,3779.504,800.498,470.486,90.348,92.52,Height
SklerozaMultiplex,1-SM-PM-18.002,110272512,ok,3712,3712,float64,20.010,1261.656,415.014,188.810,24.924,92.52,Height
SklerozaMultiplex,20_LM_SM-SS.004,2138112,ok,512,512,float64,-6.796,437.690,140.277,62.712,19.531,10.00,Height
SklerozaMultiplex,1-SM-PM-18.005,8429568,ok,1024,1024,float64,-79.095,1759.653,321.448,204.552,90.348,92.52,Height
SklerozaMultiplex,20_LM_SM-SS.003,2138112,ok,512,512,float64,-228.560,559.184,120.978,102.574,97.656,50.00,Height
SklerozaMultiplex,1-SM-LM-18.004,8429568,ok,1024,1024,float64,-115.903,1227.790,455.110,202.177,90.348,92.52,Height
SklerozaMultiplex,1-SM-LM-18.003,118005760,ok,3840,3840,float64,-464.815,396.087,-203.761,110.729,13.021,50.00,Height
SklerozaMultiplex,50_5_SM-LV-18.002,8429568,ok,1024,1024,float64,-601.380,4754.019,472.219,934.795,90.348,92.52,Height
SklerozaMultiplex,50_5_SM-LV-18.005,118005760,ok,3840,3840,float64,-619.295,1782.174,253.398,417.450,24.093,92.52,Height
SklerozaMultiplex,20_LM_SM-SS.010,2138112,ok,512,512,float64,-272.734,807.779,253.789,165.529,97.656,50.00,Height
SklerozaMultiplex,1-SM-LM-18.026,8429568,ok,1024,1024,float64,-364.946,834.990,253.229,213.665,90.348,92.52,Height
SklerozaMultiplex,50_5_SM-LV-18.010,126001152,ok,3968,3968,float64,-412.034,963.919,159.580,260.883,23.316,92.52,Height
SklerozaMultiplex,1-SM-LM-18.029,2138112,ok,512,512,float64,-253.066,276.452,-17.350,79.092,39.062,20.00,Height
SklerozaMultiplex,1-SM-LM-18.027,2138112,ok,512,512,float64,64.218,394.423,167.810,50.703,39.062,20.00,Height
SklerozaMultiplex,20_LM_SM-SS.011,2138112,ok,512,512,float64,461.226,929.277,565.169,50.496,39.062,20.00,Height
SklerozaMultiplex,100_7-SM-LV-18.001,2138112,ok,512,512,float64,-1056.305,1503.231,-332.703,413.032,180.697,92.52,Height
SklerozaMultiplex,19_PM_SM.072,8429568,ok,1024,1024,float64,1584.992,2157.011,1744.978,73.904,19.531,20.00,Height
SklerozaMultiplex,20_4-SM-PV-18.000,8429568,ok,1024,1024,float64,771.157,2473.939,1382.238,233.836,90.348,92.52,Height
SklerozaMultiplex,22_PV_SM.003,2138112,ok,512,512,float64,-255.919,850.073,189.810,185.002,180.697,92.52,Height
SklerozaMultiplex,100_8-SM-PV-18.002,8429568,ok,1024,1024,float64,-644.844,1304.975,-107.029,329.103,90.348,92.52,Height
SklerozaMultiplex,22_PV_SM.004,2138112,ok,512,512,float64,-592.527,609.835,-100.811,214.949,180.697,92.52,Height
SklerozaMultiplex,20_3-SM-LV-18.001,8429568,ok,1024,1024,float64,-657.034,2065.459,225.215,405.206,90.348,92.52,Height
SklerozaMultiplex,100_8-SM-PV-18.005,118005760,ok,3840,3840,float64,-1091.255,906.053,-548.697,322.967,24.093,92.52,Height
SklerozaMultiplex,22_PV_SM.005,2138112,ok,512,512,float64,-446.131,918.726,152.124,222.295,180.697,92.52,Height
SklerozaMultiplex,100_8-SM-PV-18.004,8429568,ok,1024,1024,float64,-379.159,2567.073,297.383,489.301,90.348,92.52,Height
SklerozaMultiplex,20_3-SM-LV-18.000,8429568,ok,1024,1024,float64,109.288,3891.506,638.697,321.766,90.348,92.52,Height
SklerozaMultiplex,22_PV_SM.002,2138112,ok,512,512,float64,-281.442,1758.322,514.671,237.511,180.697,92.52,Height
SklerozaMultiplex,100_8-SM-PV-18.003,8429568,ok,1024,1024,float64,-304.611,2349.980,309.701,416.833,90.348,92.52,Height
SklerozaMultiplex,20_4-SM-PV-18.001,8429568,ok,1024,1024,float64,3.919,1793.313,515.225,248.409,90.348,92.52,Height
SklerozaMultiplex,20_4-SM-PV-18.006,8429568,ok,1024,1024,float64,-1450.274,927.596,-636.453,375.144,90.348,92.52,Height
SklerozaMultiplex,100_7-SM-LV-18.000,8429568,ok,1024,1024,float64,-1455.942,702.888,-706.593,416.044,90.348,92.52,Height
SklerozaMultiplex,19_PM_SM.064,2138112,ok,512,512,float64,-53.623,965.794,364.688,173.416,180.697,92.52,Height
SklerozaMultiplex,19_SM_MK.001,15900672,ok,1408,1408,float64,-817.745,3556.005,199.075,537.099,65.708,92.52,Height
SklerozaMultiplex,19_PM_SM.006,8429568,ok,1024,1024,float64,-390.692,296.119,-148.130,109.108,48.828,50.00,Height
SklerozaMultiplex,19_PM_SM.001,2138112,ok,512,512,float64,409.959,892.939,529.421,56.233,39.062,20.00,Height
SklerozaMultiplex,19_PM_SM.065,8429568,ok,1024,1024,float64,-445.010,1127.262,543.836,259.925,48.828,50.00,Height
SklerozaMultiplex,19_PM_SM.000,2138112,ok,512,512,float64,284.040,1203.394,560.010,123.629,97.656,50.00,Height
SklerozaMultiplex,19_PM_SM.007,2138112,ok,512,512,float64,-299.129,1014.172,221.975,212.535,180.697,92.52,Height
SklerozaMultiplex,19_SM_MK.000,8429568,ok,1024,1024,float64,-2087.811,1634.654,-956.395,550.934,90.348,92.52,Height
SklerozaMultiplex,19_SM_MK.007,3317760,ok,640,640,float64,-832.567,4728.031,-63.748,525.495,144.558,92.52,Height
SklerozaMultiplex,50_5_SM-LV-18.000,8429568,ok,1024,1024,float64,-729.446,1386.423,-19.011,274.471,90.348,92.52,Height
SklerozaMultiplex,50_5_SM-LV-18.009,8429568,ok,1024,1024,float64,-280.212,1930.738,439.564,335.388,90.348,92.52,Height
SklerozaMultiplex,20_LM_SM-SS.008,8429568,ok,1024,1024,float64,-388.327,778.243,89.880,198.537,90.348,92.52,Height
SklerozaMultiplex,1-SM-LM-18.006,2138112,ok,512,512,float64,-954.216,510.217,-498.749,177.757,180.697,92.52,Height
SklerozaMultiplex,1-SM-LM-18.001,8429568,ok,1024,1024,float64,-434.325,1607.263,66.550,218.170,90.348,92.52,Height
SklerozaMultiplex,1-SM-LM-18.008,8429568,ok,1024,1024,float64,-1287.047,4274.368,-572.479,475.070,90.348,92.52,Height
SklerozaMultiplex,1-SM-PM-18.000,8429568,ok,1024,1024,float64,-448.558,1137.847,-42.789,201.051,90.348,92.52,Height
SklerozaMultiplex,20_LM_SM-SS.006,69378048,ok,2944,2944,float64,-669.751,807.857,-50.711,208.763,31.426,92.52,Height
SklerozaMultiplex,1-SM-PM-18.007,18915328,ok,1536,1536,float64,87.744,722.944,272.845,89.903,13.021,20.00,Height
SklerozaMultiplex,1-SM-LM-18.030,2138112,ok,512,512,float64,-337.832,-139.971,-257.803,24.693,19.531,10.00,Height
SklerozaMultiplex,20_LM_SM-SS.001,8429568,ok,1024,1024,float64,-171.667,1617.792,407.029,187.346,90.348,92.52,Height
SklerozaMultiplex,50_5_SM-LV-18.008,8429568,ok,1024,1024,float64,-585.616,613.469,-50.885,227.530,90.348,92.52,Height
SklerozaMultiplex,50_5_SM-LV-18.006,8429568,ok,1024,1024,float64,-1110.672,439.497,-446.704,275.721,90.348,92.52,Height
SklerozaMultiplex,50_5_SM-LV-18.001,8429568,ok,1024,1024,float64,-1466.535,1902.287,-511.603,602.029,90.348,92.52,Height
SklerozaMultiplex,1-SM-PM-18.006,8429568,ok,1024,1024,float64,-160.378,1231.012,330.149,218.034,90.348,92.52,Height
SklerozaMultiplex,1-SM-PM-18.001,8429568,ok,1024,1024,float64,-682.286,552.135,-278.332,193.285,90.348,92.52,Height
SklerozaMultiplex,20_LM_SM-SS.007,8429568,ok,1024,1024,float64,-294.918,1244.276,313.679,222.511,90.348,92.52,Height
SklerozaMultiplex,1-SM-LM-18.000,8429568,ok,1024,1024,float64,-702.087,1365.275,515.585,339.888,90.348,92.52,Height
SklerozaMultiplex,20_LM_SM-SS.009,565248,ok,256,256,float64,-462.804,344.040,-172.359,110.501,195.312,50.00,Height
SklerozaMultiplex,1-SM-LM-18.007,8429568,ok,1024,1024,float64,-8.845,1699.523,412.866,159.653,90.348,92.52,Height
SklerozaMultiplex,1-SM-LM-18.025,8429568,ok,1024,1024,float64,-345.802,1190.371,407.607,243.028,90.348,92.52,Height
SklerozaMultiplex,Sklo-No2.041,2138112,ok,512,512,float64,178.675,1447.890,836.015,231.555,39.062,20.00,Height
SklerozaMultiplex,20_4-SM-PV-18.003,8429568,ok,1024,1024,float64,-652.123,1711.334,291.953,394.124,90.348,92.52,Height
SklerozaMultiplex,22_PV_SM.009,8429568,ok,1024,1024,float64,-828.916,401.209,-253.926,225.952,90.348,92.52,Height
SklerozaMultiplex,100_7-SM-LV-18.002,134258688,ok,4096,4096,float64,-1018.742,684.820,-346.924,307.736,22.587,92.52,Height
SklerozaMultiplex,19_PM_SM.071,2138112,ok,512,512,float64,420.530,1844.458,1179.247,253.436,97.656,50.00,Height
SklerozaMultiplex,22_PV_SM.007,2138112,ok,512,512,float64,9.873,1341.560,543.571,224.997,180.697,92.52,Height
SklerozaMultiplex,20_3-SM-LV-18.002,118005760,ok,3840,3840,float64,-1580.091,2611.022,-471.113,564.913,24.093,92.52,Height
SklerozaMultiplex,22_PV_SM.000,8429568,ok,1024,1024,float64,-94.062,1302.035,673.625,224.161,90.348,92.52,Height
SklerozaMultiplex,100_8-SM-PV-18.001,118005760,ok,3840,3840,float64,-1015.580,1492.357,-319.495,458.305,24.093,92.52,Height
SklerozaMultiplex,20_3-SM-LV-18.004,8429568,ok,1024,1024,float64,-694.084,3039.176,-139.071,320.140,90.348,92.52,Height
SklerozaMultiplex,100_8-SM-PV-18.000,8429568,ok,1024,1024,float64,-434.624,1312.971,36.386,249.734,90.348,92.52,Height
SklerozaMultiplex,22_PV_SM.006,2138112,ok,512,512,float64,-474.575,877.784,54.016,219.849,180.697,92.52,Height
SklerozaMultiplex,20_3-SM-LV-18.003,8429568,ok,1024,1024,float64,-637.626,1705.434,-86.003,288.552,90.348,92.52,Height
SklerozaMultiplex,100_7-SM-LV-18.003,8429568,ok,1024,1024,float64,-755.376,481.376,-118.613,242.755,90.348,92.52,Height
SklerozaMultiplex,19_PM_SM.070,2138112,ok,512,512,float64,-535.742,723.656,-40.472,205.308,180.697,92.52,Height
SklerozaMultiplex,20_4-SM-PV-18.002,8429568,ok,1024,1024,float64,-220.397,1530.758,283.522,282.908,90.348,92.52,Height
SklerozaMultiplex,22_PV_SM.008,69378048,ok,2944,2944,float64,-430.519,830.978,87.991,215.139,31.426,92.52,Height
PGOV_Glaukom,27PV_PGOV_PEX.001,2138112,ok,512,512,float64,-770.687,282.590,-385.841,166.072,180.697,92.52,Height
PGOV_Glaukom,27PV_PGOV_PEX.006,2138112,ok,512,512,float64,-571.816,1214.459,-90.843,246.959,180.697,92.52,Height
PGOV_Glaukom,27PV_PGOV_PEX.000,2138112,ok,512,512,float64,208.359,1239.254,617.384,169.004,180.697,92.52,Height
PGOV_Glaukom,25_PV_PGOV.013,2138112,ok,512,512,float64,95.371,1744.445,674.431,281.393,180.697,92.52,Height
PGOV_Glaukom,21_LV_PGOV+SII.009,2138112,ok,512,512,float64,-412.135,1316.429,217.817,281.276,180.697,92.52,Height
PGOV_Glaukom,23_LV_PGOV.004,2138112,ok,512,512,float64,-633.996,1070.473,-1.295,256.798,180.697,92.52,Height
